Kategori,Rekening,Jumlah,Tanggal,Catatan,Tipe
Belanja,BANK BNI,"50,000",2025-04-20 13:46,toolify,-
Laundry,DOMPET,"25,000",2025-04-20 13:45,,-
Makanan,DOMPET,"150,000",2025-04-19 20:52,Mingguan,-
Jajan,DOMPET,"40,389",2025-04-19 20:52,,-
Belanja,DOMPET,"70,000",2025-04-19 20:51,Chat GPT,-
Rokok,DOMPET,"35,000",2025-04-19 20:51,Coil,-
Kirim Saldo,DOMPET,"1,000",2025-04-19 20:50,Ke MANDIRI,-
Terima Saldo,MANDIRI,"1,000",2025-04-19 20:50,Dari DOMPET,+
Film,DOMPET,"8,925",2025-04-19 20:50,Youtube,-
Kirim Saldo,BANK BRI,"8,925",2025-04-19 20:49,Ke DOMPET,-
Terima Saldo,DOMPET,"8,925",2025-04-19 20:49,Dari BANK BRI,+
Kirim Saldo,BANK BNI,"60,142",2025-04-19 20:49,Ke DOMPET,-
Terima Saldo,DOMPET,"60,142",2025-04-19 20:49,Dari BANK BNI,+
Kirim Saldo,GOPAY,"9,247",2025-04-19 20:49,Ke DOMPET,-
Terima Saldo,DOMPET,"9,247",2025-04-19 20:49,Dari GOPAY,+
Kirim Saldo,BCA Blu,"248,075",2025-04-19 20:41,Ke BANK BNI,-
Terima Saldo,BANK BNI,"248,075",2025-04-19 20:41,Dari BCA Blu,+
Gaji Cempor,BANK BNI,"500,000",2025-04-19 20:37,Character Building Film Pendek,+
Kirim Saldo,MANDIRI,"500,000",2025-04-19 20:36,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2025-04-19 20:36,Dari MANDIRI,+
Belanja,MANDIRI,"120,000",2025-04-18 19:51,Belanja Mingguan,-
Spay Later,MANDIRI,"1,262,000",2025-04-12 12:48,HP Oppo Reno 13F Bln 3,-
Spay Later,BANK BRI,"70,000",2025-04-12 12:43,,-
Makanan,DOMPET,"56,250",2025-04-12 12:33,,-
Kirim Saldo,MANDIRI,"23,000",2025-04-12 12:32,Ke DOMPET,-
Terima Saldo,DOMPET,"23,000",2025-04-12 12:32,Dari MANDIRI,+
Kirim Saldo,BANK BRI,"2,250",2025-04-12 12:31,Ke DOMPET,-
Terima Saldo,DOMPET,"2,250",2025-04-12 12:31,Dari BANK BRI,+
Kirim Saldo,DOMPET,"17,000",2025-04-12 12:31,Ke GOPAY,-
Terima Saldo,GOPAY,"17,000",2025-04-12 12:31,Dari DOMPET,+
Kesehatan,BANK BRI,"105,000",2025-04-12 09:45,BPJS April 2025,-
Tambah Pinjaman,MANDIRI,"300,000",2025-04-12 09:41,Jaga jaga. abis jual Ipon 12 Beli Hp oppo,-
Belanja,MANDIRI,"100,300",2025-04-09 20:06,Belanja mingguan ,-
Bensin,DOMPET,"50,000",2025-04-09 20:06,,-
Tambah Pinjaman,BANK BNI,"50,000",2025-04-09 19:19,,-
Kesehatan,DOMPET,"10,000",2025-04-09 10:31,Ademsari,-
Makanan,DOMPET,"7,000",2025-04-07 18:12,Cincau,-
Makanan,MANDIRI,"27,000",2025-04-07 18:12,Bahan makanan,-
Kirim Saldo,MANDIRI,"100,000",2025-04-07 08:15,Ke DOMPET,-
Terima Saldo,DOMPET,"100,000",2025-04-07 08:15,Dari MANDIRI,+
Tagih Hutang,BANK BRI,"300,000",2025-04-06 18:35,,+
Belanja,DOMPET,"90,000",2025-04-04 17:06,Mingguan,-
Rokok,DOMPET,"30,000",2025-04-04 10:23,,-
Bensin,DOMPET,"50,000",2025-04-04 10:22,,-
Jajan,MANDIRI,"90,500",2025-04-03 22:09,Liburan Lebaran Pantai Apra,-
Belanja,MANDIRI,"107,100",2025-04-03 22:08,Alfa Ela Ke Rumah,-
Belanja,MANDIRI,"70,400",2025-04-03 22:08,Alfa Otw Ke rumah Ela,-
Bensin,MANDIRI,"170,000",2025-04-03 22:07,,-
Kirim Saldo,DOMPET,"162,000",2025-04-03 22:04,Ke MANDIRI,-
Terima Saldo,MANDIRI,"162,000",2025-04-03 22:04,Dari DOMPET,+
Utang,MANDIRI,"98,000",2025-04-03 21:17,MindBuddy,-
Belanja,DOMPET,"274,000",2025-03-31 22:06,Belanja Lebaran,-
Bensin,DOMPET,"100,000",2025-03-31 22:05,Bensin,-
Belanja,DOMPET,"100,000",2025-03-31 22:05,Ngabuburit,-
Kesehatan,MANDIRI,"110,613",2025-03-31 22:04,Iuran BPJS Maret 2025,-
Kirim Saldo,MANDIRI,"500,000",2025-03-31 17:49,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2025-03-31 17:49,Dari MANDIRI,+
Biaya Admin,MANDIRI,"12,000",2025-03-31 17:49,Biaya Admin,-
Kuota Internet,MANDIRI,"102,000",2025-03-29 03:36,,-
Belanja,MANDIRI,"94,000",2025-03-28 19:29,,-
Minuman,DOMPET,"20,000",2025-03-28 19:29,,-
Utang,MANDIRI,"56,500",2025-03-28 12:22,Seabank Pinjam,-
Jajan,MANDIRI,"15,000",2025-03-26 22:24,Boneka,-
Makanan,MANDIRI,"50,000",2025-03-26 22:24,,-
Laundry,MANDIRI,"25,000",2025-03-26 22:23,,-
